family_id	genomes
Salmonella_enterica_WP_000018570.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Salmonella_enterica_WP_000131713.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Salmonella_enterica_WP_001068341.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Salmonella_enterica_WP_001271699.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Escherichia_coli_YCN68369.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Escherichia_coli_YCN68497.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Escherichia_coli_YCN68529.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Escherichia_coli_YCN69297.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Escherichia_coli_YCN71921.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
Escherichia_coli_YCN72433.1	Dickeya_chrysanthemi,Dickeya_dadantii,Edwardsiella_ictaluri,Edwardsiella_tarda,Enterobacter_cloacae,Erwinia_amylovora,Erwinia_billingiae,Escherichia_coli,Ewingella_americana,Hafnia_alvei,Klebsiella_pneumoniae,Leminorella_grimontii,Morganella_morganii,Obesumbacterium_proteus,Pantoea_agglomerans,Pectobacterium_atrosepticum,Pectobacterium_carotovorum,Pragia_fontium,Proteus_mirabilis,Providencia_stuartii,Salmonella_enterica,Serratia_marcescens,Tatumella_ptyseos,Xenorhabdus_nematophila,Yersinia_bercovieri,Yersinia_pestis
