family_id	genome	gene_id
Salmonella_enterica_WP_000018570.1	Dickeya_chrysanthemi	Dickeya_chrysanthemi_WP_226052939.1
Salmonella_enterica_WP_000018570.1	Edwardsiella_tarda	Edwardsiella_tarda_WP_005293646.1
Salmonella_enterica_WP_000018570.1	Edwardsiella_ictaluri	Edwardsiella_ictaluri_WP_015871210.1
Salmonella_enterica_WP_000018570.1	Dickeya_dadantii	Dickeya_dadantii_WP_013318080.1
Salmonella_enterica_WP_000018570.1	Serratia_marcescens	Serratia_marcescens_WP_004931416.1
Salmonella_enterica_WP_000018570.1	Klebsiella_pneumoniae	Klebsiella_pneumoniae_WP_002909105.1
Salmonella_enterica_WP_000018570.1	Erwinia_billingiae	Erwinia_billingiae_WP_151037625.1
Salmonella_enterica_WP_000018570.1	Enterobacter_cloacae	Enterobacter_cloacae_WP_020688366.1
Salmonella_enterica_WP_000018570.1	Erwinia_amylovora	Erwinia_amylovora_WP_004157376.1
Salmonella_enterica_WP_000018570.1	Leminorella_grimontii	Leminorella_grimontii_WP_027273089.1
Salmonella_enterica_WP_000018570.1	Yersinia_pestis	Yersinia_pestis_WP_002211832.1
Salmonella_enterica_WP_000018570.1	Salmonella_enterica	Salmonella_enterica_WP_000018570.1
Salmonella_enterica_WP_000018570.1	Pectobacterium_carotovorum	Pectobacterium_carotovorum_WP_010275686.1
Salmonella_enterica_WP_000018570.1	Yersinia_bercovieri	Yersinia_bercovieri_WP_005272321.1
Salmonella_enterica_WP_000018570.1	Morganella_morganii	Morganella_morganii_WP_024473270.1
Salmonella_enterica_WP_000018570.1	Pantoea_agglomerans	Pantoea_agglomerans_WP_010245680.1
Salmonella_enterica_WP_000018570.1	Tatumella_ptyseos	Tatumella_ptyseos_WP_304373803.1
Salmonella_enterica_WP_000018570.1	Pectobacterium_atrosepticum	Pectobacterium_atrosepticum_WP_011093972.1
Salmonella_enterica_WP_000018570.1	Providencia_stuartii	Providencia_stuartii_WP_053110852.1
Salmonella_enterica_WP_000018570.1	Xenorhabdus_nematophila	Xenorhabdus_nematophila_WP_010847341.1
Salmonella_enterica_WP_000018570.1	Escherichia_coli	Escherichia_coli_YCN71139.1
Salmonella_enterica_WP_000018570.1	Proteus_mirabilis	Proteus_mirabilis_WP_004242610.1
Salmonella_enterica_WP_000018570.1	Pragia_fontium	Pragia_fontium_WP_047780831.1
Salmonella_enterica_WP_000018570.1	Hafnia_alvei	Hafnia_alvei_WP_025801267.1
Salmonella_enterica_WP_000018570.1	Obesumbacterium_proteus	Obesumbacterium_proteus_WP_061554627.1
Salmonella_enterica_WP_000018570.1	Ewingella_americana	Ewingella_americana_WP_185689820.1
Salmonella_enterica_WP_000131713.1	Pragia_fontium	Pragia_fontium_WP_047780600.1
Salmonella_enterica_WP_000131713.1	Obesumbacterium_proteus	Obesumbacterium_proteus_WP_061554038.1
Salmonella_enterica_WP_000131713.1	Salmonella_enterica	Salmonella_enterica_WP_000131713.1
Salmonella_enterica_WP_000131713.1	Serratia_marcescens	Serratia_marcescens_WP_004940006.1
Salmonella_enterica_WP_000131713.1	Xenorhabdus_nematophila	Xenorhabdus_nematophila_WP_010848744.1
Salmonella_enterica_WP_000131713.1	Ewingella_americana	Ewingella_americana_WP_100937777.1
Salmonella_enterica_WP_000131713.1	Klebsiella_pneumoniae	Klebsiella_pneumoniae_WP_002894613.1
Salmonella_enterica_WP_000131713.1	Erwinia_amylovora	Erwinia_amylovora_WP_004156620.1
Salmonella_enterica_WP_000131713.1	Pectobacterium_atrosepticum	Pectobacterium_atrosepticum_WP_011092889.1
Salmonella_enterica_WP_000131713.1	Proteus_mirabilis	Proteus_mirabilis_WP_004252242.1
Salmonella_enterica_WP_000131713.1	Yersinia_pestis	Yersinia_pestis_WP_002210325.1
Salmonella_enterica_WP_000131713.1	Enterobacter_cloacae	Enterobacter_cloacae_WP_434133509.1
Salmonella_enterica_WP_000131713.1	Dickeya_dadantii	Dickeya_dadantii_WP_284601998.1
Salmonella_enterica_WP_000131713.1	Edwardsiella_tarda	Edwardsiella_tarda_WP_005289139.1
Salmonella_enterica_WP_000131713.1	Hafnia_alvei	Hafnia_alvei_WP_025800648.1
Salmonella_enterica_WP_000131713.1	Providencia_stuartii	Providencia_stuartii_WP_004917618.1
Salmonella_enterica_WP_000131713.1	Dickeya_chrysanthemi	Dickeya_chrysanthemi_WP_040003626.1
Salmonella_enterica_WP_000131713.1	Pectobacterium_carotovorum	Pectobacterium_carotovorum_WP_010298765.1
Salmonella_enterica_WP_000131713.1	Leminorella_grimontii	Leminorella_grimontii_WP_027272789.1
Salmonella_enterica_WP_000131713.1	Escherichia_coli	Escherichia_coli_YCN70131.1
Salmonella_enterica_WP_000131713.1	Pantoea_agglomerans	Pantoea_agglomerans_WP_031592234.1
Salmonella_enterica_WP_000131713.1	Edwardsiella_ictaluri	Edwardsiella_ictaluri_WP_015872191.1
Salmonella_enterica_WP_000131713.1	Tatumella_ptyseos	Tatumella_ptyseos_WP_441007647.1
Salmonella_enterica_WP_000131713.1	Erwinia_billingiae	Erwinia_billingiae_WP_013201272.1
Salmonella_enterica_WP_000131713.1	Morganella_morganii	Morganella_morganii_WP_123569276.1
Salmonella_enterica_WP_000131713.1	Yersinia_bercovieri	Yersinia_bercovieri_WP_005278071.1
